timestamp_ny,script_timestamp_my,currency,ctousd,bid_price,ask_price,high_price,low_price,unit_ounce,unit_gram,unit_kilo,unit_pennyweight,unit_tola,unit_tael
2025-12-10 11:02:02,2025-12-11 00:02:02,AUD,1.50705,6319.06,6322.07,6359.30,6310.17,6319.06,203.17,203165.64,315.95,2369.66,7679.41
2025-12-10 13:02:03,2025-12-11 02:02:03,AUD,1.50535,6320.81,6323.82,6352.13,6303.05,6320.81,203.22,203222.01,316.05,2370.31,7681.55
2025-12-10 21:02:02,2025-12-11 10:02:02,AUD,1.49945,6354.22,6357.22,6370.71,6332.63,6354.22,204.30,204296.03,317.72,2382.84,7722.14
2025-12-10 22:02:03,2025-12-11 11:02:03,AUD,1.50315,6346.75,6349.76,6386.43,6342.84,6346.75,204.05,204055.89,317.35,2380.03,7713.07
2025-12-10 23:02:03,2025-12-11 12:02:03,AUD,1.50695,6350.89,6353.90,6402.58,6343.05,6350.89,204.19,204188.98,317.54,2381.58,7718.10
2025-12-11 00:02:03,2025-12-11 13:02:03,AUD,1.5065499999999998,6346.34,6349.35,6400.88,6339.26,6346.34,204.03,204042.76,317.32,2379.88,7712.57
2025-12-11 01:02:03,2025-12-11 14:02:03,AUD,1.5073500000000002,6339.76,6342.78,6404.28,6338.11,6339.76,203.82,203831.25,317.00,2377.41,7704.58
2025-12-11 02:02:03,2025-12-11 15:02:03,AUD,1.5073500000000002,6349.41,6352.43,6404.28,6336.45,6349.41,204.14,204141.42,317.48,2381.03,7716.31
2025-12-11 03:02:02,2025-12-11 16:02:02,AUD,1.50555,6345.89,6348.90,6396.63,6328.88,6345.89,204.03,204028.33,317.29,2379.72,7712.03
2025-12-11 05:02:04,2025-12-11 18:02:04,AUD,1.50365,6343.00,6346.00,6388.56,6320.89,6343.00,203.93,203935.22,317.15,2378.62,7708.51
2025-12-11 06:02:03,2025-12-11 19:02:03,AUD,1.50295,6336.29,6339.29,6385.58,6317.95,6336.29,203.71,203719.48,316.82,2376.10,7700.35
