timestamp_ny,script_timestamp_my,currency,ctousd,bid_price,ask_price,high_price,low_price,unit_ounce,unit_gram,unit_kilo,unit_pennyweight,unit_tola,unit_tael
2025-12-10 11:02:02,2025-12-11 00:02:02,CNY,7.0642499999999995,29620.40,29634.53,29809.02,29578.72,29620.40,952.33,952332.60,1481.02,11107.69,35997.02
2025-12-10 13:02:03,2025-12-11 02:02:03,CNY,7.064299999999999,29662.29,29676.42,29809.23,29578.93,29662.29,953.68,953679.37,1483.15,11123.38,36047.92
2025-12-10 21:02:02,2025-12-11 10:02:02,CNY,7.0614,29924.09,29938.22,30001.77,29822.41,29924.09,962.12,962096.75,1496.24,11221.55,36366.07
2025-12-10 22:02:03,2025-12-11 11:02:03,CNY,7.0614,29815.35,29829.47,30001.77,29796.99,29815.35,958.59,958600.44,1490.80,11180.74,36233.95
2025-12-10 23:02:03,2025-12-11 12:02:03,CNY,7.062150000000001,29762.72,29776.85,30004.96,29726.00,29762.72,956.92,956908.47,1488.14,11161.02,36170.00
2025-12-11 00:02:03,2025-12-11 13:02:03,CNY,7.062150000000001,29749.31,29763.43,30004.96,29716.11,29749.31,956.43,956477.12,1487.50,11156.01,36153.69
2025-12-11 01:02:03,2025-12-11 14:02:03,CNY,7.06175,29701.01,29715.14,30003.26,29693.25,29701.01,954.89,954924.44,1485.09,11137.86,36095.01
2025-12-11 02:02:03,2025-12-11 15:02:03,CNY,7.0611,29743.47,29757.59,30000.50,29682.75,29743.47,956.28,956289.50,1487.21,11153.78,36146.62
2025-12-11 03:02:02,2025-12-11 16:02:02,CNY,7.0596,29756.21,29770.33,29994.12,29676.44,29756.21,956.72,956699.13,1487.81,11158.62,36162.10
2025-12-11 05:02:04,2025-12-11 18:02:04,CNY,7.05805,29773.68,29787.79,29987.54,29669.92,29773.68,957.21,957260.67,1488.68,11165.13,36183.31
2025-12-11 06:02:03,2025-12-11 19:02:03,CNY,7.05805,29756.03,29770.15,29987.54,29669.92,29756.03,956.65,956693.34,1487.84,11158.49,36161.85
2025-12-11 07:02:04,2025-12-11 20:02:04,CNY,7.05805,29717.92,29732.04,29987.54,29669.92,29717.92,955.45,955467.92,1485.93,11144.24,36115.55
2025-12-11 08:02:03,2025-12-11 21:02:03,CNY,7.05805,29785.68,29799.79,29987.54,29669.92,29785.68,957.64,957646.46,1489.32,11169.65,36197.84
2025-12-11 09:02:04,2025-12-11 22:02:04,CNY,7.05805,29787.09,29801.20,29987.54,29669.92,29787.09,957.71,957691.84,1489.39,11170.14,36199.61
2025-12-11 10:02:04,2025-12-11 23:02:04,CNY,7.05805,29856.96,29871.08,29987.54,29669.92,29856.96,959.89,959938.35,1492.85,11196.40,36284.52
2025-12-11 11:02:04,2025-12-12 00:02:04,CNY,7.05805,30012.95,30027.06,30084.23,29669.92,30012.95,964.91,964953.45,1500.68,11254.84,36474.10
2025-12-11 12:02:03,2025-12-12 01:02:03,CNY,7.05805,30158.34,30172.46,30207.75,29669.92,30158.34,969.63,969628.06,1507.95,11309.40,36650.76
2025-12-11 13:02:03,2025-12-12 02:02:03,CNY,7.0581,30194.55,30208.67,30227.72,29670.13,30194.55,970.77,970792.25,1509.73,11322.96,36694.78
2025-12-11 14:02:03,2025-12-12 03:02:03,CNY,7.0581499999999995,30119.24,30133.36,30257.58,29670.35,30119.24,968.38,968370.98,1506.00,11294.73,36603.28
2025-12-11 15:02:03,2025-12-12 04:02:03,CNY,7.0581499999999995,30157.36,30171.47,30257.58,29670.35,30157.36,969.58,969596.42,1507.90,11308.99,36649.59
