timestamp_ny,script_timestamp_my,currency,ctousd,bid_price,ask_price,high_price,low_price,unit_ounce,unit_gram,unit_kilo,unit_pennyweight,unit_tola,unit_tael
2025-12-10 11:02:02,2025-12-11 00:02:02,GBP,0.75085,3148.31,3149.82,3168.36,3143.88,3148.31,101.22,101222.20,157.42,1180.62,3826.08
2025-12-10 13:02:03,2025-12-11 02:02:03,GBP,0.7495,3147.08,3148.57,3162.67,3138.23,3147.08,101.18,101182.38,157.36,1180.16,3824.57
2025-12-10 21:02:02,2025-12-11 10:02:02,GBP,0.7475,3167.68,3169.18,3175.90,3156.92,3167.68,101.85,101844.86,158.39,1187.88,3849.61
2025-12-10 22:02:03,2025-12-11 11:02:03,GBP,0.74795,3158.07,3159.57,3177.82,3156.12,3158.07,101.53,101535.84,157.91,1184.27,3837.93
2025-12-10 23:02:03,2025-12-11 12:02:03,GBP,0.7482500000000001,3153.42,3154.92,3179.09,3149.53,3153.42,101.39,101386.51,157.67,1182.53,3832.29
2025-12-11 00:02:03,2025-12-11 13:02:03,GBP,0.74815,3151.58,3153.08,3178.66,3148.07,3151.58,101.32,101327.27,157.58,1181.85,3830.05
2025-12-11 01:02:03,2025-12-11 14:02:03,GBP,0.7484500000000001,3147.91,3149.40,3179.94,3147.08,3147.91,101.21,101209.08,157.40,1180.46,3825.58
2025-12-11 02:02:03,2025-12-11 15:02:03,GBP,0.74815,3151.43,3152.93,3178.66,3145.00,3151.43,101.32,101322.46,157.58,1181.79,3829.87
2025-12-11 03:02:02,2025-12-11 16:02:02,GBP,0.74815,3153.45,3154.95,3178.66,3145.00,3153.45,101.39,101387.40,157.67,1182.55,3832.32
2025-12-11 05:02:04,2025-12-11 18:02:04,GBP,0.74805,3155.57,3157.07,3178.24,3144.58,3155.57,101.45,101455.62,157.78,1183.34,3834.90
2025-12-11 06:02:03,2025-12-11 19:02:03,GBP,0.74775,3152.44,3153.93,3176.97,3143.32,3152.44,101.35,101354.83,157.63,1182.16,3831.09
2025-12-11 07:02:04,2025-12-11 20:02:04,GBP,0.74725,3146.30,3147.79,3174.84,3141.21,3146.30,101.16,101157.32,157.32,1179.86,3823.63
2025-12-11 08:02:03,2025-12-11 21:02:03,GBP,0.74695,3152.20,3153.70,3173.57,3139.95,3152.20,101.35,101347.26,157.61,1182.08,3830.80
2025-12-11 09:02:04,2025-12-11 22:02:04,GBP,0.74605,3148.55,3150.05,3169.74,3136.17,3148.55,101.23,101229.94,157.43,1180.71,3826.37
2025-12-11 10:02:04,2025-12-11 23:02:04,GBP,0.7456499999999999,3154.25,3155.74,3168.04,3134.49,3154.25,101.41,101413.00,157.71,1182.85,3833.29
2025-12-11 11:02:04,2025-12-12 00:02:04,GBP,0.74455,3166.05,3167.54,3173.57,3129.86,3166.05,101.79,101792.43,158.31,1187.27,3847.63
2025-12-11 12:02:03,2025-12-12 01:02:03,GBP,0.74505,3183.52,3185.01,3188.74,3131.97,3183.52,102.35,102354.25,159.18,1193.82,3868.87
2025-12-11 13:02:03,2025-12-12 02:02:03,GBP,0.74535,3188.61,3190.10,3192.11,3133.23,3188.61,102.52,102517.68,159.43,1195.73,3875.04
2025-12-11 14:02:03,2025-12-12 03:02:03,GBP,0.74575,3182.34,3183.83,3196.96,3134.91,3182.34,102.32,102316.14,159.12,1193.38,3867.43
2025-12-11 15:02:03,2025-12-12 04:02:03,GBP,0.74705,3191.92,3193.41,3202.53,3140.37,3191.92,102.62,102624.20,159.60,1196.97,3879.07
2025-12-11 16:02:03,2025-12-12 05:02:03,GBP,0.74685,3193.08,3194.58,3201.67,3139.53,3193.08,102.66,102661.56,159.65,1197.41,3880.48
2025-12-11 17:02:02,2025-12-12 06:02:02,GBP,0.74715,3197.13,3198.62,3202.96,3140.79,3197.13,102.79,102791.68,159.86,1198.92,3885.40
2025-12-11 18:02:02,2025-12-12 07:02:02,GBP,0.74715,3197.13,3198.62,3202.96,3140.79,3197.13,102.79,102791.68,159.86,1198.92,3885.40
2025-12-11 19:02:02,2025-12-12 08:02:02,GBP,0.74685,3193.01,3194.50,3199.51,3190.62,3193.01,102.65,102659.16,159.65,1197.38,3880.39
2025-12-11 20:02:02,2025-12-12 09:02:02,GBP,0.74685,3188.60,3190.10,3199.51,3187.71,3188.60,102.51,102517.49,159.43,1195.73,3875.04
2025-12-11 21:02:02,2025-12-12 10:02:02,GBP,0.74695,3189.63,3191.12,3199.93,3184.99,3189.63,102.55,102550.42,159.48,1196.11,3876.28
2025-12-11 22:02:02,2025-12-12 11:02:02,GBP,0.74695,3189.78,3191.27,3199.93,3184.99,3189.78,102.56,102555.23,159.49,1196.17,3876.46
2025-12-11 23:02:03,2025-12-12 12:02:03,GBP,0.74705,3189.75,3191.25,3200.36,3185.42,3189.75,102.56,102554.55,159.49,1196.16,3876.43
2025-12-12 00:02:03,2025-12-12 13:02:03,GBP,0.74705,3186.54,3188.04,3200.36,3185.42,3186.54,102.45,102451.27,159.33,1194.95,3872.54
2025-12-12 01:02:02,2025-12-12 14:02:02,GBP,0.74665,3194.62,3196.11,3198.65,3183.72,3194.62,102.71,102710.88,159.73,1197.98,3882.35
2025-12-12 02:02:02,2025-12-12 15:02:02,GBP,0.74745,3200.28,3201.78,3202.08,3187.13,3200.28,102.89,102893.03,160.01,1200.11,3889.23
2025-12-12 03:02:03,2025-12-12 16:02:03,GBP,0.7475499999999999,3205.64,3207.14,3207.89,3187.55,3205.64,103.06,103065.42,160.28,1202.12,3895.75
2025-12-12 04:02:02,2025-12-12 17:02:02,GBP,0.7476499999999999,3220.95,3222.45,3222.45,3187.98,3220.95,103.56,103557.56,161.05,1207.86,3914.35
2025-12-12 05:02:02,2025-12-12 18:02:02,GBP,0.74745,3226.07,3227.56,3230.03,3187.13,3226.07,103.72,103722.11,161.31,1209.78,3920.57
2025-12-12 06:02:02,2025-12-12 19:02:02,GBP,0.74785,3237.89,3239.39,3239.46,3188.83,3237.89,104.10,104102.22,161.89,1214.21,3934.94
2025-12-12 07:02:02,2025-12-12 20:02:02,GBP,0.74785,3243.20,3244.70,3245.82,3188.83,3243.20,104.27,104272.93,162.16,1216.20,3941.39
2025-12-12 08:02:02,2025-12-12 21:02:02,GBP,0.74795,3232.42,3233.91,3246.25,3189.26,3232.42,103.93,103926.16,161.62,1212.16,3928.29
2025-12-12 09:02:03,2025-12-12 22:02:03,GBP,0.7483500000000001,3247.91,3249.41,3252.93,3190.96,3247.91,104.42,104424.45,162.40,1217.97,3947.12
2025-12-12 10:02:02,2025-12-12 23:02:02,GBP,0.74805,3251.17,3252.67,3257.23,3189.69,3251.17,104.53,104529.31,162.56,1219.19,3951.08
2025-12-12 11:02:02,2025-12-13 00:02:03,GBP,0.74905,3209.90,3211.40,3261.59,3193.95,3209.90,103.20,103202.39,160.50,1203.72,3900.93
2025-12-12 12:02:02,2025-12-13 01:02:02,GBP,0.74925,3207.39,3208.89,3262.46,3189.41,3207.39,103.12,103121.55,160.37,1202.77,3897.87
2025-12-12 13:02:02,2025-12-13 02:02:02,GBP,0.74795,3211.25,3212.74,3256.80,3183.87,3211.25,103.25,103245.62,160.56,1204.22,3902.56
2025-12-12 14:02:02,2025-12-13 03:02:02,GBP,0.74865,3214.70,3216.20,3259.85,3186.85,3214.70,103.36,103356.69,160.74,1205.51,3906.76
2025-12-12 15:02:03,2025-12-13 04:02:03,GBP,0.74815,3213.83,3215.32,3257.67,3184.72,3213.83,103.33,103328.55,160.70,1205.19,3905.69
2025-12-12 16:02:03,2025-12-13 05:02:03,GBP,0.7484500000000001,3217.14,3218.63,3258.98,3186.00,3217.14,103.44,103434.96,160.86,1206.43,3909.72
2025-12-12 17:02:02,2025-12-13 06:02:02,GBP,0.74805,3215.64,3217.14,3257.23,3184.30,3215.64,103.39,103386.89,160.79,1205.86,3907.90
2025-12-12 18:02:02,2025-12-13 07:02:02,GBP,0.74805,3215.64,3217.14,3257.23,3184.30,3215.64,103.39,103386.89,160.79,1205.86,3907.90
